key_locality_sub_;Étiquettes de lignes;locality;Min. de prix_m2_2;Moyenne de prix_m2;Max. de prix_m2;
EXCEPTIONAL_PROPERTYNeufchâteau;EXCEPTIONAL_PROPERTY;Neufchâteau;1471;2097;3333;
GROUND_FLOORNeufchâteau;GROUND_FLOOR;Neufchâteau;792;1793;2612;
HOUSENeufchâteau;HOUSE;Neufchâteau;463;1699;3618;
MANSIONNeufchâteau;MANSION;Neufchâteau;638;1073;1403;
MIXED_USE_BUILDINGNeufchâteau;MIXED_USE_BUILDING;Neufchâteau;450;942;1997;
PENTHOUSENeufchâteau;PENTHOUSE;Neufchâteau;2508;3021;3361;
TOWN_HOUSENeufchâteau;TOWN_HOUSE;Neufchâteau;1085;1473;2153;
VILLANeufchâteau;VILLA;Neufchâteau;1211;2051;2896;
APARTMENTNivelles;APARTMENT;Nivelles;1542;3439;7345;
APARTMENT_BLOCKNivelles;APARTMENT_BLOCK;Nivelles;542;2005;4125;
DUPLEX-TRIPLEXNivelles;DUPLEX-TRIPLEX;Nivelles;1201;3072;5922;
EXCEPTIONAL_PROPERTYNivelles;EXCEPTIONAL_PROPERTY;Nivelles;680;3435;8235;
FLAT_STUDIONivelles;FLAT_STUDIO;Nivelles;2589;4315;6024;
GROUND_FLOORNivelles;GROUND_FLOOR;Nivelles;1750;3622;7316;
HOUSENivelles;HOUSE;Nivelles;428;2320;6000;
KOTNivelles;KOT;Nivelles;5972;5972;5972;
LOFTNivelles;LOFT;Nivelles;1403;1964;2714;
MANSIONNivelles;MANSION;Nivelles;1663;2238;3177;
MIXED_USE_BUILDINGNivelles;MIXED_USE_BUILDING;Nivelles;550;1896;3430;
PENTHOUSENivelles;PENTHOUSE;Nivelles;2509;3861;9648;
SERVICE_FLATNivelles;SERVICE_FLAT;Nivelles;6765;7607;8450;
TOWN_HOUSENivelles;TOWN_HOUSE;Nivelles;1096;2317;3000;
VILLANivelles;VILLA;Nivelles;948;2965;9000;
APARTMENTOostend;APARTMENT;Oostend;405;3914;13158;
APARTMENT_BLOCKOostend;APARTMENT_BLOCK;Oostend;1425;3657;11667;
DUPLEX-TRIPLEXOostend;DUPLEX-TRIPLEX;Oostend;1684;3422;7554;
EXCEPTIONAL_PROPERTYOostend;EXCEPTIONAL_PROPERTY;Oostend;1252;4388;11400;
FLAT_STUDIOOostend;FLAT_STUDIO;Oostend;2278;4168;11410;
GROUND_FLOOROostend;GROUND_FLOOR;Oostend;1380;3459;7075;
HOUSEOostend;HOUSE;Oostend;431;2240;5117;
MANSIONOostend;MANSION;Oostend;1024;1732;2465;
MIXED_USE_BUILDINGOostend;MIXED_USE_BUILDING;Oostend;988;1375;1729;
PENTHOUSEOostend;PENTHOUSE;Oostend;1552;4746;9843;
SERVICE_FLATOostend;SERVICE_FLAT;Oostend;4083;4386;4909;
TOWN_HOUSEOostend;TOWN_HOUSE;Oostend;1413;1897;2736;
VILLAOostend;VILLA;Oostend;479;2522;6553;
APARTMENTOudenaarde;APARTMENT;Oudenaarde;849;2889;5500;
APARTMENT_BLOCKOudenaarde;APARTMENT_BLOCK;Oudenaarde;1059;1762;3071;
DUPLEX-TRIPLEXOudenaarde;DUPLEX-TRIPLEX;Oudenaarde;1383;2570;3901;
